state,year,n_reps,state_name,total_reps,relative_rep_power
MS,1860,5,Mississippi,241,0.02074688796680498
MO,1860,9,Missouri,241,0.03734439834024896
MT,1860,NA,Montana,241,NA
NE,1860,NA,Nebraska,241,NA
NV,1860,NA,Nevada,241,NA
NH,1860,3,New Hampshire,241,0.012448132780082987
NJ,1860,5,New Jersey,241,0.02074688796680498
NM,1860,NA,New Mexico,241,NA
NY,1860,31,New York,241,0.12863070539419086
NC,1860,7,North Carolina,241,0.029045643153526972
ND,1860,NA,North Dakota,241,NA
OH,1860,19,Ohio,241,0.07883817427385892
OK,1860,NA,Oklahoma,241,NA
OR,1860,1,Oregon,241,0.004149377593360996
PA,1860,24,Pennsylvania,241,0.0995850622406639
RI,1860,2,Rhode Island,241,0.008298755186721992
SC,1860,4,South Carolina,241,0.016597510373443983
SD,1860,NA,South Dakota,241,NA
TN,1860,8,Tennessee,241,0.03319502074688797
TX,1860,4,Texas,241,0.016597510373443983
UT,1860,NA,Utah,241,NA
VT,1860,3,Vermont,241,0.012448132780082987
VA,1860,11,Virginia,241,0.04564315352697095
WA,1860,NA,Washington,241,NA
WV,1860,NA,West Virginia,241,NA
WI,1860,6,Wisconsin,241,0.024896265560165973
WY,1860,NA,Wyoming,241,NA
AL,1870,8,Alabama,292,0.0273972602739726
AK,1870,NA,Alaska,292,NA
AZ,1870,NA,Arizona,292,NA
AR,1870,4,Arkansas,292,0.0136986301369863
CA,1870,4,California,292,0.0136986301369863
CO,1870,NA,Colorado,292,NA
CT,1870,4,Connecticut,292,0.0136986301369863
DE,1870,1,Delaware,292,0.003424657534246575
FL,1870,2,Florida,292,0.00684931506849315
GA,1870,9,Georgia,292,0.030821917808219176
HI,1870,NA,Hawaii,292,NA
ID,1870,NA,Idaho,292,NA
IL,1870,19,Illinois,292,0.06506849315068493
IN,1870,13,Indiana,292,0.04452054794520548
IA,1870,9,Iowa,292,0.030821917808219176
KS,1870,3,Kansas,292,0.010273972602739725
KY,1870,10,Kentucky,292,0.03424657534246575
LA,1870,6,Louisiana,292,0.02054794520547945
ME,1870,5,Maine,292,0.017123287671232876
MD,1870,6,Maryland,292,0.02054794520547945
MA,1870,11,Massachusetts,292,0.03767123287671233
MI,1870,9,Michigan,292,0.030821917808219176
MN,1870,3,Minnesota,292,0.010273972602739725
MS,1870,6,Mississippi,292,0.02054794520547945
MO,1870,13,Missouri,292,0.04452054794520548
MT,1870,NA,Montana,292,NA
NE,1870,1,Nebraska,292,0.003424657534246575
NV,1870,1,Nevada,292,0.003424657534246575
NH,1870,3,New Hampshire,292,0.010273972602739725
NJ,1870,7,New Jersey,292,0.023972602739726026
NM,1870,NA,New Mexico,292,NA
NY,1870,33,New York,292,0.11301369863013698
NC,1870,8,North Carolina,292,0.0273972602739726
ND,1870,NA,North Dakota,292,NA
OH,1870,20,Ohio,292,0.0684931506849315
OK,1870,NA,Oklahoma,292,NA
OR,1870,1,Oregon,292,0.003424657534246575
PA,1870,27,Pennsylvania,292,0.09246575342465753
RI,1870,2,Rhode Island,292,0.00684931506849315
SC,1870,5,South Carolina,292,0.017123287671232876
SD,1870,NA,South Dakota,292,NA
TN,1870,10,Tennessee,292,0.03424657534246575
TX,1870,6,Texas,292,0.02054794520547945
UT,1870,NA,Utah,292,NA
VT,1870,3,Vermont,292,0.010273972602739725
VA,1870,9,Virginia,292,0.030821917808219176
WA,1870,NA,Washington,292,NA
WV,1870,3,West Virginia,292,0.010273972602739725
WI,1870,8,Wisconsin,292,0.0273972602739726
WY,1870,NA,Wyoming,292,NA
AL,1880,8,Alabama,325,0.024615384615384615
AK,1880,NA,Alaska,325,NA
AZ,1880,NA,Arizona,325,NA
AR,1880,5,Arkansas,325,0.015384615384615385
CA,1880,6,California,325,0.018461538461538463
CO,1880,1,Colorado,325,0.003076923076923077
CT,1880,4,Connecticut,325,0.012307692307692308
DE,1880,1,Delaware,325,0.003076923076923077
FL,1880,2,Florida,325,0.006153846153846154
GA,1880,10,Georgia,325,0.03076923076923077
HI,1880,NA,Hawaii,325,NA
ID,1880,NA,Idaho,325,NA
IL,1880,20,Illinois,325,0.06153846153846154
IN,1880,13,Indiana,325,0.04
IA,1880,11,Iowa,325,0.033846153846153845
KS,1880,7,Kansas,325,0.021538461538461538
KY,1880,11,Kentucky,325,0.033846153846153845
LA,1880,6,Louisiana,325,0.018461538461538463
ME,1880,4,Maine,325,0.012307692307692308
MD,1880,6,Maryland,325,0.018461538461538463
MA,1880,12,Massachusetts,325,0.036923076923076927
MI,1880,11,Michigan,325,0.033846153846153845
MN,1880,5,Minnesota,325,0.015384615384615385
MS,1880,7,Mississippi,325,0.021538461538461538
MO,1880,14,Missouri,325,0.043076923076923075
MT,1880,NA,Montana,325,NA
NE,1880,3,Nebraska,325,0.009230769230769232
NV,1880,1,Nevada,325,0.003076923076923077
NH,1880,2,New Hampshire,325,0.006153846153846154
NJ,1880,7,New Jersey,325,0.021538461538461538
NM,1880,NA,New Mexico,325,NA
NY,1880,34,New York,325,0.10461538461538461
NC,1880,9,North Carolina,325,0.027692307692307693
ND,1880,NA,North Dakota,325,NA
OH,1880,21,Ohio,325,0.06461538461538462
OK,1880,NA,Oklahoma,325,NA
OR,1880,1,Oregon,325,0.003076923076923077
PA,1880,28,Pennsylvania,325,0.08615384615384615
